course_id;course_slug;course_name;source_kind;discipline;subject;question_count
54;transpetro-2026-04-administra-o;Transpetro 2026 — Administração;SUPABASE_ACADEMIC;Conhecimentos Específicos;Conteúdo específico — Administração;50
54;transpetro-2026-04-administra-o;Transpetro 2026 — Administração;SUPABASE_ACADEMIC;Língua Inglesa;Compreensão de texto escrito em língua inglesa;50
54;transpetro-2026-04-administra-o;Transpetro 2026 — Administração;SUPABASE_ACADEMIC;Língua Inglesa;Itens gramaticais relevantes para a compreensão dos conteúdos semânticos;50
54;transpetro-2026-04-administra-o;Transpetro 2026 — Administração;SUPABASE_ACADEMIC;Língua Portuguesa;Compreensão de textos de gêneros variados;50
54;transpetro-2026-04-administra-o;Transpetro 2026 — Administração;SUPABASE_ACADEMIC;Língua Portuguesa;Ortografia oficial;50
54;transpetro-2026-04-administra-o;Transpetro 2026 — Administração;SUPABASE_ACADEMIC;Língua Portuguesa;Mecanismos de coesão textual;50
54;transpetro-2026-04-administra-o;Transpetro 2026 — Administração;SUPABASE_ACADEMIC;Língua Portuguesa;Emprego das classes de palavras;50
54;transpetro-2026-04-administra-o;Transpetro 2026 — Administração;SUPABASE_ACADEMIC;Língua Portuguesa;Concordância nominal e verbal;50
54;transpetro-2026-04-administra-o;Transpetro 2026 — Administração;SUPABASE_ACADEMIC;Língua Portuguesa;Emprego do sinal indicativo de crase;50
54;transpetro-2026-04-administra-o;Transpetro 2026 — Administração;SUPABASE_ACADEMIC;Língua Portuguesa;Sinais de pontuação;50
54;transpetro-2026-04-administra-o;Transpetro 2026 — Administração;SUPABASE_ACADEMIC;Língua Portuguesa;Significação das palavras;50
54;transpetro-2026-04-administra-o;Transpetro 2026 — Administração;SUPABASE_ACADEMIC;Língua Portuguesa;Concordância verbal e nominal;50
54;transpetro-2026-04-administra-o;Transpetro 2026 — Administração;SUPABASE_ACADEMIC;Língua Portuguesa;Regência verbal e nominal;50
54;transpetro-2026-04-administra-o;Transpetro 2026 — Administração;SUPABASE_ACADEMIC;Língua Portuguesa;Emprego do sinal indicativo de crase;50
54;transpetro-2026-04-administra-o;Transpetro 2026 — Administração;SUPABASE_ACADEMIC;Língua Portuguesa;Colocação dos pronomes átonos;50
35;transpetro-2026-03-administra-o-e-controle;Transpetro 2026 — Administração e Controle;SUPABASE_ACADEMIC;Conhecimentos Específicos;Conteúdo específico — Administração e Controle;50
35;transpetro-2026-03-administra-o-e-controle;Transpetro 2026 — Administração e Controle;SUPABASE_ACADEMIC;Língua Portuguesa;Compreensão de textos de gêneros variados;50
35;transpetro-2026-03-administra-o-e-controle;Transpetro 2026 — Administração e Controle;SUPABASE_ACADEMIC;Língua Portuguesa;Ortografia oficial;50
35;transpetro-2026-03-administra-o-e-controle;Transpetro 2026 — Administração e Controle;SUPABASE_ACADEMIC;Língua Portuguesa;Mecanismos de coesão textual;50
35;transpetro-2026-03-administra-o-e-controle;Transpetro 2026 — Administração e Controle;SUPABASE_ACADEMIC;Língua Portuguesa;Emprego das classes de palavras;50
35;transpetro-2026-03-administra-o-e-controle;Transpetro 2026 — Administração e Controle;SUPABASE_ACADEMIC;Língua Portuguesa;Concordância nominal e verbal;50
35;transpetro-2026-03-administra-o-e-controle;Transpetro 2026 — Administração e Controle;SUPABASE_ACADEMIC;Língua Portuguesa;Emprego do sinal indicativo de crase;50
35;transpetro-2026-03-administra-o-e-controle;Transpetro 2026 — Administração e Controle;SUPABASE_ACADEMIC;Língua Portuguesa;Sinais de pontuação;50
35;transpetro-2026-03-administra-o-e-controle;Transpetro 2026 — Administração e Controle;SUPABASE_ACADEMIC;Língua Portuguesa;Significação das palavras;50
35;transpetro-2026-03-administra-o-e-controle;Transpetro 2026 — Administração e Controle;SUPABASE_ACADEMIC;Matemática;Conjuntos numéricos;50
35;transpetro-2026-03-administra-o-e-controle;Transpetro 2026 — Administração e Controle;SUPABASE_ACADEMIC;Matemática;Razão e proporção, regra de três e porcentagem;65
35;transpetro-2026-03-administra-o-e-controle;Transpetro 2026 — Administração e Controle;SUPABASE_ACADEMIC;Matemática;Relações e funções;50
35;transpetro-2026-03-administra-o-e-controle;Transpetro 2026 — Administração e Controle;SUPABASE_ACADEMIC;Matemática;Equações e sistemas de equações lineares;50
35;transpetro-2026-03-administra-o-e-controle;Transpetro 2026 — Administração e Controle;SUPABASE_ACADEMIC;Matemática;Análise combinatória;50
35;transpetro-2026-03-administra-o-e-controle;Transpetro 2026 — Administração e Controle;SUPABASE_ACADEMIC;Matemática;Probabilidade básica;50
48;transpetro-2026-04-advocacia;Transpetro 2026 — Advocacia;SUPABASE_ACADEMIC;Conhecimentos Específicos;Conteúdo específico — Advocacia;50
48;transpetro-2026-04-advocacia;Transpetro 2026 — Advocacia;SUPABASE_ACADEMIC;Língua Inglesa;Compreensão de texto escrito em língua inglesa;50
48;transpetro-2026-04-advocacia;Transpetro 2026 — Advocacia;SUPABASE_ACADEMIC;Língua Inglesa;Itens gramaticais relevantes para a compreensão dos conteúdos semânticos;50
48;transpetro-2026-04-advocacia;Transpetro 2026 — Advocacia;SUPABASE_ACADEMIC;Língua Portuguesa;Compreensão de textos de gêneros variados;50
48;transpetro-2026-04-advocacia;Transpetro 2026 — Advocacia;SUPABASE_ACADEMIC;Língua Portuguesa;Ortografia oficial;50
48;transpetro-2026-04-advocacia;Transpetro 2026 — Advocacia;SUPABASE_ACADEMIC;Língua Portuguesa;Mecanismos de coesão textual;50
48;transpetro-2026-04-advocacia;Transpetro 2026 — Advocacia;SUPABASE_ACADEMIC;Língua Portuguesa;Emprego das classes de palavras;50
48;transpetro-2026-04-advocacia;Transpetro 2026 — Advocacia;SUPABASE_ACADEMIC;Língua Portuguesa;Concordância nominal e verbal;50
48;transpetro-2026-04-advocacia;Transpetro 2026 — Advocacia;SUPABASE_ACADEMIC;Língua Portuguesa;Emprego do sinal indicativo de crase;50
